"Location_ID","Location_Name","Well_Tag_ID","Well_Water_Level_Measuring_Point_or_TOC_ID","Well_Water_Level_Measuring_Point_or_TOC_Description","Well_Water_Level_Measuring_Point_or_TOC_Elevation","Well_Water_Level_Measuring_Point_or_TOC_Elevation_Units","Well_Water_Level_Measuring_Point_or_TOC_Datum","Well_Water_Level_Measuring_Point_or_TOC_Accuracy","Well_Water_Level_Measuring_Point_or_TOC_Collection_Method","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Well_Water_Level_Measuring_Point_or_TOC_Start_Date","Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Record_Created_On","Well_Water_Level_Measuring_Point_or_TOC_Accuracy_NAVD88_FT"
"VCSW0664~MW-1","SW0664~9-2553~MW-1","","TOC1","TOC=Top of casing",217.7,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",7/17/1991 12:00:00 AM,,,
"NW1454~MW-4","NW1454~9-4252~MW-4","","TOC1","TOC=Top of casing",116,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",8/14/1995 12:00:00 AM,,,
"VCSW0664~MW-11","SW0664~9-2553~MW-11","","TOC1","TOC=Top of casing",219.3,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",3/28/2007 12:00:00 AM,,,
"VCSW0664~MW-3","SW0664~9-2553~MW-3","","TOC1","TOC=Top of casing",218.7,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",7/18/1991 12:00:00 AM,,,
"VCSW0664~MW-5","SW0664~9-2553~MW-5","","TOC1","TOC=Top of casing",218.4,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",7/18/1991 12:00:00 AM,,,
"SW0080_MW-A7","SW0080_MW-A7","","TOC1","Top of Casing, measured from the north side",,"","","+/- 3 ft (1 m)","GPS consumer unit or unknown (code phase)",-0.5,"FT",,,8/5/2014 12:16:41 PM,3
"NW1453~MW-5","NW1453~9-6142~MW-5","","TOC1","TOC=Top of casing",169,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",7/21/2000 12:00:00 AM,,,
"NW1453~MW-8","NW1453~9-6142~MW-8","","TOC1","TOC=Top of casing",169,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",7/13/2007 12:00:00 AM,,,
"VCSW0664~MW-8","SW0664~9-2553~MW-8","","TOC1","TOC=Top of casing",218.2,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",11/10/2005 12:00:00 AM,,,
"PALF351-MW8","PORT ANGELES 351-COMPLIANT LANDFILL MW8","","TOC1","Top of casing",158.26,"FT","NAVD88","+/- 1 ft (0.3 m)","Survey - conventional",,"",,158.26,1/25/2016 4:39:25 PM,2
"VCSW0664~MW-7","SW0664~9-2553~MW-7","","TOC1","TOC=Top of casing",218,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",11/10/2005 12:00:00 AM,,,
"VCSW0664~MW-9","SW0664~9-2553~MW-9","","TOC1","TOC=Top of casing",212.9,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",3/28/2007 12:00:00 AM,,,
"VCSW1470-MW-1","VCSW1470-MW-1","","TOC1","Top of casing",57.28,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,57.28,7/29/2015 10:29:06 AM,1
"VCSW1470-MW-102","VCSW1470-MW-102","","TOC1","Top of casing",46.63,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,46.63,7/29/2015 10:29:15 AM,1
"VCSW0664~MW-6","SW0664~9-2553~MW-6","","TOC1","TOC=Top of casing",213.5,"FT","WGS84","Unknown","GPS consumer unit or unknown (code phase)",,"",2/13/2001 12:00:00 AM,,,
"VCSW1470-MW-103","VCSW1470-MW-103","","TOC1","Top of casing",47.68,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,47.68,7/29/2015 10:29:15 AM,1
"VCSW1470-MW-104","VCSW1470-MW-104","","TOC1","Top of casing",48.34,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,48.34,7/29/2015 10:29:16 AM,1
"VCSW1470-MW-105","VCSW1470-MW-105","","TOC1","Top of Casing",46.98,"FT","NAVD88","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)",,"",,46.98,12/1/2016 3:45:38 PM,4
"VCSW1470-MW-106","VCSW1470-MW-106","","TOC1","Top of Casing",47.13,"FT","NAVD88","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)",,"",,47.13,12/1/2016 3:45:38 PM,4
"VCSW1470-MW-108","VCSW1470-MW-108","","TOC1","Top of Casing",48.31,"FT","NAVD88","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)",,"",,48.31,12/1/2016 3:45:38 PM,4
"VCSW1470-MW-13","VCSW1470-MW-13","","TOC1","Top of casing",52.15,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,52.15,7/29/2015 10:29:10 AM,1
"VCSW1470-MW-16","VCSW1470-MW-16","","TOC1","Top of casing",48.34,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,48.34,7/29/2015 10:29:11 AM,1
"VCSW1470-MW-107","VCSW1470-MW-107","","TOC1","Top of Casing",46.82,"FT","NAVD88","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)",,"",,46.82,12/1/2016 3:45:38 PM,4
"VCSW1470-MW-20","VCSW1470-MW-20","","TOC1","Top of casing",53.09,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,53.09,7/29/2015 10:29:13 AM,1
"VCSW1470-MW-24","VCSW1470-MW-24","","TOC1","Top of casing",51.26,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,51.26,7/29/2015 10:29:14 AM,1
"VCSW1470-MW-18","VCSW1470-MW-18","","TOC1","Top of casing",46.34,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,46.34,7/29/2015 10:29:12 AM,1
